"Vuosineljännes";"Postinumero";"Huoneluku";"Lukumäärä";"Neliövuokra (eur/m2)"
"2020Q2";"61600 Jalasjärvi Keskus   (Kurikka )";"Kolmiot+";.;.
"2020Q2";"61800 Kauhajoki Keskus   (Kauhajoki )";"Yksiöt";47;10.99
"2020Q2";"61800 Kauhajoki Keskus   (Kauhajoki )";"Kaksiot";96;9.89
"2020Q2";"61800 Kauhajoki Keskus   (Kauhajoki )";"Kolmiot+";35;9.17
"2020Q2";"62100 Lapua Keskus   (Lapua )";"Yksiöt";38;10.76
"2020Q2";"62100 Lapua Keskus   (Lapua )";"Kaksiot";81;10.13
"2020Q2";"62100 Lapua Keskus   (Lapua )";"Kolmiot+";28;9.47
"2020Q2";"62200 Kauhava Keskus   (Kauhava )";"Yksiöt";.;.
"2020Q2";"62200 Kauhava Keskus   (Kauhava )";"Kaksiot";36;9.15
"2020Q2";"62200 Kauhava Keskus   (Kauhava )";"Kolmiot+";.;.
"2020Q2";"62900 Alajärvi Keskus   (Alajärvi )";"Yksiöt";.;.
"2020Q2";"62900 Alajärvi Keskus   (Alajärvi )";"Kaksiot";41;9.35
"2020Q2";"62900 Alajärvi Keskus   (Alajärvi )";"Kolmiot+";.;.
"2020Q2";"63300 Alavus Keskus   (Alavus )";"Yksiöt";21;10.70
"2020Q2";"63300 Alavus Keskus   (Alavus )";"Kaksiot";29;9.32
"2020Q2";"63300 Alavus Keskus   (Alavus )";"Kolmiot+";.;.
"2020Q2";"63700 Ähtäri Keskus   (Ähtäri )";"Yksiöt";29;10.33
"2020Q2";"63700 Ähtäri Keskus   (Ähtäri )";"Kaksiot";26;9.24
"2020Q2";"63700 Ähtäri Keskus   (Ähtäri )";"Kolmiot+";.;.
"2020Q2";"64100 Kristiinankaupunki Keskus   (Kristiinankaupunki )";"Yksiöt";.;.
"2020Q2";"64100 Kristiinankaupunki Keskus   (Kristiinankaupunki )";"Kaksiot";30;8.57
"2020Q2";"64100 Kristiinankaupunki Keskus   (Kristiinankaupunki )";"Kolmiot+";.;.
"2020Q2";"64200 Närpiö Keskus   (Närpiö )";"Yksiöt";.;.
"2020Q2";"64200 Närpiö Keskus   (Närpiö )";"Kaksiot";24;9.59
"2020Q2";"64200 Närpiö Keskus   (Närpiö )";"Kolmiot+";.;.
"2020Q2";"65100 Vaasa Keskus   (Vaasa )";"Yksiöt";811;16.24
"2020Q2";"65100 Vaasa Keskus   (Vaasa )";"Kaksiot";590;12.67
"2020Q2";"65100 Vaasa Keskus   (Vaasa )";"Kolmiot+";118;10.21
"2020Q2";"65200 Palosaari   (Vaasa )";"Yksiöt";243;15.34
"2020Q2";"65200 Palosaari   (Vaasa )";"Kaksiot";204;11.79
"2020Q2";"65200 Palosaari   (Vaasa )";"Kolmiot+";30;9.42
"2020Q2";"65230 Vetokannas   (Vaasa )";"Yksiöt";28;13.32
"2020Q2";"65230 Vetokannas   (Vaasa )";"Kaksiot";26;9.97
"2020Q2";"65230 Vetokannas   (Vaasa )";"Kolmiot+";.;.
"2020Q2";"65280 Gerby   (Vaasa )";"Yksiöt";.;.
"2020Q2";"65280 Gerby   (Vaasa )";"Kaksiot";.;.
"2020Q2";"65280 Gerby   (Vaasa )";"Kolmiot+";.;.
"2020Q2";"65320 Huutoniemi   (Vaasa )";"Yksiöt";41;14.04
"2020Q2";"65320 Huutoniemi   (Vaasa )";"Kaksiot";36;10.65
"2020Q2";"65320 Huutoniemi   (Vaasa )";"Kolmiot+";.;.
"2020Q2";"65350 Suvilahti   (Vaasa )";"Yksiöt";44;13.45
"2020Q2";"65350 Suvilahti   (Vaasa )";"Kaksiot";33;10.10
"2020Q2";"65350 Suvilahti   (Vaasa )";"Kolmiot+";21;9.27
"2020Q2";"65370 Ristinummi   (Vaasa )";"Yksiöt";29;12.95
"2020Q2";"65370 Ristinummi   (Vaasa )";"Kaksiot";28;9.20
"2020Q2";"65370 Ristinummi   (Vaasa )";"Kolmiot+";.;.
"2020Q2";"65380 Vanha Vaasa   (Vaasa )";"Yksiöt";.;.
"2020Q2";"65380 Vanha Vaasa   (Vaasa )";"Kaksiot";.;.
"2020Q2";"65380 Vanha Vaasa   (Vaasa )";"Kolmiot+";.;.
"2020Q2";"65610 Mustasaari Keskus   (Mustasaari )";"Yksiöt";.;.
"2020Q2";"65610 Mustasaari Keskus   (Mustasaari )";"Kaksiot";23;10.43
"2020Q2";"65610 Mustasaari Keskus   (Mustasaari )";"Kolmiot+";.;.
"2020Q2";"66400 Laihia Keskus   (Laihia )";"Yksiöt";.;.
"2020Q2";"66400 Laihia Keskus   (Laihia )";"Kaksiot";42;9.35
"2020Q2";"66400 Laihia Keskus   (Laihia )";"Kolmiot+";.;.
"2020Q2";"66900 Uusikaarlepyy Keskus   (Uusikaarlepyy )";"Yksiöt";.;.
"2020Q2";"66900 Uusikaarlepyy Keskus   (Uusikaarlepyy )";"Kaksiot";.;.
"2020Q2";"66900 Uusikaarlepyy Keskus   (Uusikaarlepyy )";"Kolmiot+";.;.
"2020Q2";"67100 Kokkola Keskus   (Kokkola )";"Yksiöt";188;15.45
"2020Q2";"67100 Kokkola Keskus   (Kokkola )";"Kaksiot";187;12.08
"2020Q2";"67100 Kokkola Keskus   (Kokkola )";"Kolmiot+";51;9.49
"2020Q2";"67200 Kiviniitty-Tullimäki   (Kokkola )";"Yksiöt";52;15.35
"2020Q2";"67200 Kiviniitty-Tullimäki   (Kokkola )";"Kaksiot";85;11.07
"2020Q2";"67200 Kiviniitty-Tullimäki   (Kokkola )";"Kolmiot+";24;10.49
"2020Q2";"67800 Koivuhaka   (Kokkola )";"Yksiöt";34;13.40
"2020Q2";"67800 Koivuhaka   (Kokkola )";"Kaksiot";29;8.99
"2020Q2";"67800 Koivuhaka   (Kokkola )";"Kolmiot+";26;8.54
"2020Q2";"68600 Pietarsaari Keskus   (Pietarsaari )";"Yksiöt";77;12.79
"2020Q2";"68600 Pietarsaari Keskus   (Pietarsaari )";"Kaksiot";73;10.75
"2020Q2";"68600 Pietarsaari Keskus   (Pietarsaari )";"Kolmiot+";32;9.67
"2020Q2";"68620 Skutnäs-Västermalm   (Pietarsaari )";"Yksiöt";40;13.60
"2020Q2";"68620 Skutnäs-Västermalm   (Pietarsaari )";"Kaksiot";41;10.56
"2020Q2";"68620 Skutnäs-Västermalm   (Pietarsaari )";"Kolmiot+";24;9.07
"2020Q2";"69100 Kannus Keskus   (Kannus )";"Yksiöt";20;10.50
"2020Q2";"69100 Kannus Keskus   (Kannus )";"Kaksiot";46;8.96
"2020Q2";"69100 Kannus Keskus   (Kannus )";"Kolmiot+";.;.
"2020Q2";"70100 Kuopio Keskus   (Kuopio )";"Yksiöt";610;18.76
"2020Q2";"70100 Kuopio Keskus   (Kuopio )";"Kaksiot";480;15.14
"2020Q2";"70100 Kuopio Keskus   (Kuopio )";"Kolmiot+";126;13.19
"2020Q2";"70110 Etu-Niirala   (Kuopio )";"Yksiöt";333;18.64
"2020Q2";"70110 Etu-Niirala   (Kuopio )";"Kaksiot";191;14.66
"2020Q2";"70110 Etu-Niirala   (Kuopio )";"Kolmiot+";37;12.48
"2020Q2";"70150 Neulamäki   (Kuopio )";"Yksiöt";145;15.63
"2020Q2";"70150 Neulamäki   (Kuopio )";"Kaksiot";136;12.55
"2020Q2";"70150 Neulamäki   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70200 Puijonlaakso   (Kuopio )";"Yksiöt";261;17.83
"2020Q2";"70200 Puijonlaakso   (Kuopio )";"Kaksiot";336;14.09
"2020Q2";"70200 Puijonlaakso   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70280 Länsi-Puijo   (Kuopio )";"Yksiöt";49;15.56
"2020Q2";"70280 Länsi-Puijo   (Kuopio )";"Kaksiot";.;.
"2020Q2";"70280 Länsi-Puijo   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70340 Inkilänmäki   (Kuopio )";"Yksiöt";57;17.61
"2020Q2";"70340 Inkilänmäki   (Kuopio )";"Kaksiot";59;13.37
"2020Q2";"70340 Inkilänmäki   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70420 Päiväranta   (Kuopio )";"Yksiöt";.;.
"2020Q2";"70420 Päiväranta   (Kuopio )";"Kaksiot";26;11.51
"2020Q2";"70420 Päiväranta   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70460 Saarijärvi   (Kuopio )";"Yksiöt";48;16.03
"2020Q2";"70460 Saarijärvi   (Kuopio )";"Kaksiot";119;12.17
"2020Q2";"70460 Saarijärvi   (Kuopio )";"Kolmiot+";36;10.34
"2020Q2";"70500 Männistö   (Kuopio )";"Yksiöt";171;16.31
"2020Q2";"70500 Männistö   (Kuopio )";"Kaksiot";259;13.80
"2020Q2";"70500 Männistö   (Kuopio )";"Kolmiot+";47;12.44
"2020Q2";"70600 Niirala-Huuhanmäki   (Kuopio )";"Yksiöt";143;18.60
"2020Q2";"70600 Niirala-Huuhanmäki   (Kuopio )";"Kaksiot";72;14.27
"2020Q2";"70600 Niirala-Huuhanmäki   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70620 Haapaniemi   (Kuopio )";"Yksiöt";52;15.56
"2020Q2";"70620 Haapaniemi   (Kuopio )";"Kaksiot";29;13.12
"2020Q2";"70620 Haapaniemi   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70700 Särkiniemi   (Kuopio )";"Yksiöt";38;16.44
"2020Q2";"70700 Särkiniemi   (Kuopio )";"Kaksiot";52;13.01
"2020Q2";"70700 Särkiniemi   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70780 Jynkkä   (Kuopio )";"Yksiöt";32;17.11
"2020Q2";"70780 Jynkkä   (Kuopio )";"Kaksiot";.;.
"2020Q2";"70780 Jynkkä   (Kuopio )";"Kolmiot+";21;10.70
"2020Q2";"70820 Litmanen   (Kuopio )";"Yksiöt";.;.
"2020Q2";"70820 Litmanen   (Kuopio )";"Kaksiot";73;14.06
"2020Q2";"70820 Litmanen   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"70840 Jynkänmäki   (Kuopio )";"Yksiöt";73;19.38
"2020Q2";"70840 Jynkänmäki   (Kuopio )";"Kaksiot";58;15.35
"2020Q2";"70840 Jynkänmäki   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"71200 Tuusniemi Keskus   (Tuusniemi )";"Yksiöt";.;.
"2020Q2";"71200 Tuusniemi Keskus   (Tuusniemi )";"Kaksiot";.;.
"2020Q2";"71200 Tuusniemi Keskus   (Tuusniemi )";"Kolmiot+";.;.
"2020Q2";"71800 Siilinjärvi Keskus   (Siilinjärvi )";"Yksiöt";78;14.57
"2020Q2";"71800 Siilinjärvi Keskus   (Siilinjärvi )";"Kaksiot";63;12.17
"2020Q2";"71800 Siilinjärvi Keskus   (Siilinjärvi )";"Kolmiot+";28;10.64
"2020Q2";"72400 Pielavesi Keskus-Jylänki   (Pielavesi )";"Yksiöt";.;.
"2020Q2";"72400 Pielavesi Keskus-Jylänki   (Pielavesi )";"Kaksiot";20;9.52
"2020Q2";"72400 Pielavesi Keskus-Jylänki   (Pielavesi )";"Kolmiot+";.;.
"2020Q2";"73100 Lapinlahti Keskus   (Lapinlahti )";"Yksiöt";87;11.24
"2020Q2";"73100 Lapinlahti Keskus   (Lapinlahti )";"Kaksiot";41;10.31
"2020Q2";"73100 Lapinlahti Keskus   (Lapinlahti )";"Kolmiot+";.;.
"2020Q2";"73300 Nilsiä Keskus   (Kuopio )";"Yksiöt";25;11.81
"2020Q2";"73300 Nilsiä Keskus   (Kuopio )";"Kaksiot";40;10.59
"2020Q2";"73300 Nilsiä Keskus   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"73500 Juankoski Keskus   (Kuopio )";"Yksiöt";.;.
"2020Q2";"73500 Juankoski Keskus   (Kuopio )";"Kaksiot";.;.
"2020Q2";"73500 Juankoski Keskus   (Kuopio )";"Kolmiot+";.;.
"2020Q2";"73600 Kaavi Keskus   (Kaavi )";"Yksiöt";.;.
"2020Q2";"73600 Kaavi Keskus   (Kaavi )";"Kaksiot";.;.
"2020Q2";"73600 Kaavi Keskus   (Kaavi )";"Kolmiot+";.;.
"2020Q2";"74100 Iisalmi Keskus, Eteläinen   (Iisalmi )";"Yksiöt";161;14.02
"2020Q2";"74100 Iisalmi Keskus, Eteläinen   (Iisalmi )";"Kaksiot";122;10.85
"2020Q2";"74100 Iisalmi Keskus, Eteläinen   (Iisalmi )";"Kolmiot+";23;10.22
"2020Q2";"74120 Iisalmi Keskus Pohjoinen   (Iisalmi )";"Yksiöt";86;12.98
"2020Q2";"74120 Iisalmi Keskus Pohjoinen   (Iisalmi )";"Kaksiot";59;10.31
"2020Q2";"74120 Iisalmi Keskus Pohjoinen   (Iisalmi )";"Kolmiot+";27;9.72
"2020Q2";"74130 Kihmula   (Iisalmi )";"Yksiöt";.;.
"2020Q2";"74130 Kihmula   (Iisalmi )";"Kaksiot";28;10.50
"2020Q2";"74130 Kihmula   (Iisalmi )";"Kolmiot+";.;.
"2020Q2";"74700 Kiuruvesi Keskus   (Kiuruvesi )";"Yksiöt";56;10.61
"2020Q2";"74700 Kiuruvesi Keskus   (Kiuruvesi )";"Kaksiot";32;8.92
"2020Q2";"74700 Kiuruvesi Keskus   (Kiuruvesi )";"Kolmiot+";.;.
"2020Q2";"75500 Nurmes Keskus   (Nurmes )";"Yksiöt";35;10.90
"2020Q2";"75500 Nurmes Keskus   (Nurmes )";"Kaksiot";51;8.93
"2020Q2";"75500 Nurmes Keskus   (Nurmes )";"Kolmiot+";.;.
"2020Q2";"75530 Porokylä   (Nurmes )";"Yksiöt";.;.
"2020Q2";"75530 Porokylä   (Nurmes )";"Kaksiot";25;9.00
"2020Q2";"75530 Porokylä   (Nurmes )";"Kolmiot+";.;.
"2020Q2";"76100 Pieksämäki Keskus   (Pieksämäki )";"Yksiöt";90;10.77
"2020Q2";"76100 Pieksämäki Keskus   (Pieksämäki )";"Kaksiot";110;9.05
"2020Q2";"76100 Pieksämäki Keskus   (Pieksämäki )";"Kolmiot+";21;8.56
"2020Q2";"76120 Kontiopuisto   (Pieksämäki )";"Yksiöt";.;.
"2020Q2";"76120 Kontiopuisto   (Pieksämäki )";"Kaksiot";.;.
"2020Q2";"76120 Kontiopuisto   (Pieksämäki )";"Kolmiot+";.;.
"2020Q2";"76150 Länsirinne   (Pieksämäki )";"Yksiöt";37;10.83
"2020Q2";"76150 Länsirinne   (Pieksämäki )";"Kaksiot";35;8.46
"2020Q2";"76150 Länsirinne   (Pieksämäki )";"Kolmiot+";.;.
"2020Q2";"77600 Suonenjoki Keskus   (Suonenjoki )";"Yksiöt";34;11.18
"2020Q2";"77600 Suonenjoki Keskus   (Suonenjoki )";"Kaksiot";65;9.85
"2020Q2";"77600 Suonenjoki Keskus   (Suonenjoki )";"Kolmiot+";.;.
"2020Q2";"78200 Varkaus Keskus   (Leppävirta )";"Yksiöt";176;11.28
"2020Q2";"78200 Varkaus Keskus   (Leppävirta )";"Kaksiot";126;9.37
"2020Q2";"78200 Varkaus Keskus   (Leppävirta )";"Kolmiot+";.;.
"2020Q2";"78210 Kuoppakangas   (Varkaus )";"Yksiöt";.;.
"2020Q2";"78210 Kuoppakangas   (Varkaus )";"Kaksiot";.;.
"2020Q2";"78210 Kuoppakangas   (Varkaus )";"Kolmiot+";.;.
"2020Q2";"78250 Päiviönsaari   (Varkaus )";"Yksiöt";20;10.84
"2020Q2";"78250 Päiviönsaari   (Varkaus )";"Kaksiot";.;.
"2020Q2";"78250 Päiviönsaari   (Varkaus )";"Kolmiot+";.;.
"2020Q2";"78300 Kommila   (Varkaus )";"Yksiöt";.;.
"2020Q2";"78300 Kommila   (Varkaus )";"Kaksiot";33;8.60
"2020Q2";"78300 Kommila   (Varkaus )";"Kolmiot+";.;.
"2020Q2";"78850 Käpykangas   (Joroinen )";"Yksiöt";.;.
"2020Q2";"78850 Käpykangas   (Joroinen )";"Kaksiot";.;.
"2020Q2";"78850 Käpykangas   (Joroinen )";"Kolmiot+";.;.
"2020Q2";"79100 Leppävirta Keskus   (Leppävirta )";"Yksiöt";38;10.87
"2020Q2";"79100 Leppävirta Keskus   (Leppävirta )";"Kaksiot";52;9.72
"2020Q2";"79100 Leppävirta Keskus   (Leppävirta )";"Kolmiot+";.;.
"2020Q2";"79600 Joroinen Keskus   (Joroinen )";"Yksiöt";.;.
"2020Q2";"79600 Joroinen Keskus   (Joroinen )";"Kaksiot";.;.
"2020Q2";"79600 Joroinen Keskus   (Joroinen )";"Kolmiot+";.;.
"2020Q2";"80100 Joensuu Keskus, Pohjoinen   (Joensuu )";"Yksiöt";603;17.43
"2020Q2";"80100 Joensuu Keskus, Pohjoinen   (Joensuu )";"Kaksiot";356;13.76
"2020Q2";"80100 Joensuu Keskus, Pohjoinen   (Joensuu )";"Kolmiot+";48;11.30
"2020Q2";"80110 Joensuu Keskus Eteläinen   (Joensuu )";"Yksiöt";353;17.21
"2020Q2";"80110 Joensuu Keskus Eteläinen   (Joensuu )";"Kaksiot";177;13.10
"2020Q2";"80110 Joensuu Keskus Eteläinen   (Joensuu )";"Kolmiot+";.;.
"2020Q2";"80140 Noljakka   (Joensuu )";"Yksiöt";75;16.69
"2020Q2";"80140 Noljakka   (Joensuu )";"Kaksiot";60;13.09
"2020Q2";"80140 Noljakka   (Joensuu )";"Kolmiot+";21;11.00
"2020Q2";"80160 Rantakylä-Latola   (Joensuu )";"Yksiöt";136;14.99
"2020Q2";"80160 Rantakylä-Latola   (Joensuu )";"Kaksiot";182;12.14
"2020Q2";"80160 Rantakylä-Latola   (Joensuu )";"Kolmiot+";41;10.56
"2020Q2";"80170 Utra   (Joensuu )";"Yksiöt";.;.
"2020Q2";"80170 Utra   (Joensuu )";"Kaksiot";28;11.18
"2020Q2";"80170 Utra   (Joensuu )";"Kolmiot+";.;.
"2020Q2";"80200 Niinivaara   (Joensuu )";"Yksiöt";173;16.54
"2020Q2";"80200 Niinivaara   (Joensuu )";"Kaksiot";116;13.06
"2020Q2";"80200 Niinivaara   (Joensuu )";"Kolmiot+";.;.
"2020Q2";"80220 Penttilä   (Joensuu )";"Yksiöt";145;19.34
"2020Q2";"80220 Penttilä   (Joensuu )";"Kaksiot";89;15.12
"2020Q2";"80220 Penttilä   (Joensuu )";"Kolmiot+";.;.
"2020Q2";"80230 Hukanhauta   (Joensuu )";"Yksiöt";36;15.67
"2020Q2";"80230 Hukanhauta   (Joensuu )";"Kaksiot";35;13.28
"2020Q2";"80230 Hukanhauta   (Joensuu )";"Kolmiot+";.;.
"2020Q2";"80260 Kettuvaara   (Joensuu )";"Yksiöt";61;15.58
"2020Q2";"80260 Kettuvaara   (Joensuu )";"Kaksiot";51;12.11
"2020Q2";"80260 Kettuvaara   (Joensuu )";"Kolmiot+";32;10.74
"2020Q2";"80400 Ylämylly   (Liperi )";"Yksiöt";25;12.77
"2020Q2";"80400 Ylämylly   (Liperi )";"Kaksiot";27;10.58
"2020Q2";"80400 Ylämylly   (Liperi )";"Kolmiot+";.;.
"2020Q2";"80710 Lehmo   (Kontiolahti )";"Yksiöt";.;.
"2020Q2";"80710 Lehmo   (Kontiolahti )";"Kaksiot";20;12.05
"2020Q2";"80710 Lehmo   (Kontiolahti )";"Kolmiot+";.;.
"2020Q2";"81200 Eno Keskus   (Joensuu )";"Yksiöt";.;.
"2020Q2";"81200 Eno Keskus   (Joensuu )";"Kaksiot";29;9.80
"2020Q2";"81200 Eno Keskus   (Joensuu )";"Kolmiot+";.;.
"2020Q2";"81700 Lieksa Keskus   (Lieksa )";"Yksiöt";59;10.70
"2020Q2";"81700 Lieksa Keskus   (Lieksa )";"Kaksiot";39;8.90
"2020Q2";"81700 Lieksa Keskus   (Lieksa )";"Kolmiot+";.;.
"2020Q2";"81720 Mähkö-Timitra   (Lieksa )";"Yksiöt";.;.
"2020Q2";"81720 Mähkö-Timitra   (Lieksa )";"Kaksiot";21;8.29
"2020Q2";"81720 Mähkö-Timitra   (Lieksa )";"Kolmiot+";.;.
"2020Q2";"82500 Kitee Keskus   (Kitee )";"Yksiöt";51;11.08
"2020Q2";"82500 Kitee Keskus   (Kitee )";"Kaksiot";57;8.99
"2020Q2";"82500 Kitee Keskus   (Kitee )";"Kolmiot+";21;8.47
"2020Q2";"82900 Ilomantsi Keskus   (Ilomantsi )";"Yksiöt";.;.
"2020Q2";"82900 Ilomantsi Keskus   (Ilomantsi )";"Kaksiot";.;.
"2020Q2";"82900 Ilomantsi Keskus   (Ilomantsi )";"Kolmiot+";.;.
"2020Q2";"83100 Liperi Keskus   (Liperi )";"Yksiöt";.;.
"2020Q2";"83100 Liperi Keskus   (Liperi )";"Kaksiot";.;.
"2020Q2";"83100 Liperi Keskus   (Liperi )";"Kolmiot+";.;.
"2020Q2";"83500 Outokumpu Keskus   (Outokumpu )";"Yksiöt";80;12.01
"2020Q2";"83500 Outokumpu Keskus   (Outokumpu )";"Kaksiot";67;9.00
"2020Q2";"83500 Outokumpu Keskus   (Outokumpu )";"Kolmiot+";31;8.53
"2020Q2";"83900 Juuka Keskus   (Juuka )";"Yksiöt";.;.
"2020Q2";"83900 Juuka Keskus   (Juuka )";"Kaksiot";.;.
"2020Q2";"83900 Juuka Keskus   (Juuka )";"Kolmiot+";.;.
"2020Q2";"84100 Ylivieska Keskus   (Ylivieska )";"Yksiöt";110;12.77
"2020Q2";"84100 Ylivieska Keskus   (Ylivieska )";"Kaksiot";132;10.41
"2020Q2";"84100 Ylivieska Keskus   (Ylivieska )";"Kolmiot+";42;10.18
"2020Q2";"85100 Kalajoki Keskus   (Kalajoki )";"Yksiöt";.;.
"2020Q2";"85100 Kalajoki Keskus   (Kalajoki )";"Kaksiot";39;10.32
"2020Q2";"85100 Kalajoki Keskus   (Kalajoki )";"Kolmiot+";.;.
"2020Q2";"85500 Nivala Keskus   (Nivala )";"Yksiöt";31;10.96
"2020Q2";"85500 Nivala Keskus   (Nivala )";"Kaksiot";40;9.98
"2020Q2";"85500 Nivala Keskus   (Nivala )";"Kolmiot+";21;9.25
"2020Q2";"85800 Haapajärvi Keskus   (Haapajärvi )";"Yksiöt";24;10.93
"2020Q2";"85800 Haapajärvi Keskus   (Haapajärvi )";"Kaksiot";29;9.61
"2020Q2";"85800 Haapajärvi Keskus   (Haapajärvi )";"Kolmiot+";.;.
"2020Q2";"86300 Oulainen Keskus   (Oulainen )";"Yksiöt";49;10.82
"2020Q2";"86300 Oulainen Keskus   (Oulainen )";"Kaksiot";56;9.33
"2020Q2";"86300 Oulainen Keskus   (Oulainen )";"Kolmiot+";27;9.00
"2020Q2";"86600 Haapavesi Keskus   (Haapavesi )";"Yksiöt";.;.
"2020Q2";"86600 Haapavesi Keskus   (Haapavesi )";"Kaksiot";27;9.02
"2020Q2";"86600 Haapavesi Keskus   (Haapavesi )";"Kolmiot+";.;.
"2020Q2";"86800 Pyhäsalmi   (Pyhäjärvi )";"Yksiöt";23;10.33
"2020Q2";"86800 Pyhäsalmi   (Pyhäjärvi )";"Kaksiot";.;.
"2020Q2";"86800 Pyhäsalmi   (Pyhäjärvi )";"Kolmiot+";.;.
"2020Q2";"87100 Kajaani Keskus   (Kajaani )";"Yksiöt";421;15.50
"2020Q2";"87100 Kajaani Keskus   (Kajaani )";"Kaksiot";212;12.24
"2020Q2";"87100 Kajaani Keskus   (Kajaani )";"Kolmiot+";38;11.17
"2020Q2";"87200 Teppana   (Kajaani )";"Yksiöt";36;14.64
"2020Q2";"87200 Teppana   (Kajaani )";"Kaksiot";36;11.45
"2020Q2";"87200 Teppana   (Kajaani )";"Kolmiot+";.;.
"2020Q2";"87300 Palokangas   (Kajaani )";"Yksiöt";24;14.71
"2020Q2";"87300 Palokangas   (Kajaani )";"Kaksiot";.;.
"2020Q2";"87300 Palokangas   (Kajaani )";"Kolmiot+";.;.
"2020Q2";"87400 Petäisenniska   (Kajaani )";"Yksiöt";.;.
"2020Q2";"87400 Petäisenniska   (Kajaani )";"Kaksiot";20;11.07
"2020Q2";"87400 Petäisenniska   (Kajaani )";"Kolmiot+";.;.
"2020Q2";"87500 Lehtikangas   (Kajaani )";"Yksiöt";47;13.52
"2020Q2";"87500 Lehtikangas   (Kajaani )";"Kaksiot";31;10.49
"2020Q2";"87500 Lehtikangas   (Kajaani )";"Kolmiot+";30;10.12
"2020Q2";"88600 Sotkamo Keskus   (Sotkamo )";"Yksiöt";50;13.53
"2020Q2";"88600 Sotkamo Keskus   (Sotkamo )";"Kaksiot";39;10.74
"2020Q2";"88600 Sotkamo Keskus   (Sotkamo )";"Kolmiot+";.;.
"2020Q2";"88900 Kuhmo Keskus   (Kuhmo )";"Yksiöt";.;.
"2020Q2";"88900 Kuhmo Keskus   (Kuhmo )";"Kaksiot";25;9.03
"2020Q2";"88900 Kuhmo Keskus   (Kuhmo )";"Kolmiot+";.;.
"2020Q2";"89600 Ämmänsaari   (Suomussalmi )";"Yksiöt";.;.
"2020Q2";"89600 Ämmänsaari   (Suomussalmi )";"Kaksiot";.;.
"2020Q2";"89600 Ämmänsaari   (Suomussalmi )";"Kolmiot+";.;.
"2020Q2";"90100 Oulu Keskus   (Oulu )";"Yksiöt";476;17.16
"2020Q2";"90100 Oulu Keskus   (Oulu )";"Kaksiot";408;13.34
"2020Q2";"90100 Oulu Keskus   (Oulu )";"Kolmiot+";103;12.78
"2020Q2";"90120 Heinäpää   (Oulu )";"Yksiöt";477;16.34
"2020Q2";"90120 Heinäpää   (Oulu )";"Kaksiot";431;13.28
"2020Q2";"90120 Heinäpää   (Oulu )";"Kolmiot+";73;12.80
"2020Q2";"90130 Raksila   (Oulu )";"Yksiöt";232;15.95
"2020Q2";"90130 Raksila   (Oulu )";"Kaksiot";262;13.67
"2020Q2";"90130 Raksila   (Oulu )";"Kolmiot+";68;12.07
"2020Q2";"90140 Karjasilta   (Oulu )";"Yksiöt";125;15.89
"2020Q2";"90140 Karjasilta   (Oulu )";"Kaksiot";91;12.84
"2020Q2";"90140 Karjasilta   (Oulu )";"Kolmiot+";.;.
"2020Q2";"90150 Höyhtyä   (Oulu )";"Yksiöt";106;15.72
"2020Q2";"90150 Höyhtyä   (Oulu )";"Kaksiot";75;11.01
"2020Q2";"90150 Höyhtyä   (Oulu )";"Kolmiot+";34;10.35
"2020Q2";"90230 Värttö-Maikkula   (Oulu )";"Yksiöt";138;16.62
"2020Q2";"90230 Värttö-Maikkula   (Oulu )";"Kaksiot";143;13.76
"2020Q2";"90230 Värttö-Maikkula   (Oulu )";"Kolmiot+";.;.
"2020Q2";"90240 Iinatti   (Oulu )";"Yksiöt";26;13.84
"2020Q2";"90240 Iinatti   (Oulu )";"Kaksiot";28;11.48
"2020Q2";"90240 Iinatti   (Oulu )";"Kolmiot+";.;.
"2020Q2";"90250 Kaukovainio   (Oulu )";"Yksiöt";316;14.44
"2020Q2";"90250 Kaukovainio   (Oulu )";"Kaksiot";198;11.33
"2020Q2";"90250 Kaukovainio   (Oulu )";"Kolmiot+";75;11.21
"2020Q2";"90400 Äimärautio   (Oulu )";"Yksiöt";163;18.77
"2020Q2";"90400 Äimärautio   (Oulu )";"Kaksiot";85;15.89
"2020Q2";"90400 Äimärautio   (Oulu )";"Kolmiot+";.;.
"2020Q2";"90410 Kaakkuri   (Oulu )";"Yksiöt";.;.
"2020Q2";"90410 Kaakkuri   (Oulu )";"Kaksiot";.;.
"2020Q2";"90410 Kaakkuri   (Oulu )";"Kolmiot+";33;12.16
"2020Q2";"90420 Metsokangas   (Oulu )";"Yksiöt";95;16.38
"2020Q2";"90420 Metsokangas   (Oulu )";"Kaksiot";71;13.01
"2020Q2";"90420 Metsokangas   (Oulu )";"Kolmiot+";40;12.51
